video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/L38N3ykpkIo,/@thatsoundsawesome,That Sounds Awesome,"Shorts - Green Lake Park Wading Pool | Seattle, WA",228,3 years,"Soaking up every second of wading pool fun before they close for the season. Green Lake wading pool is open daily, and one of ...",2026-01-18 23:28:12.262110
/watch?v=D_8QY5npsBE&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,Seattle clearing Green Lake encampment,8.2K,4 years,The city of Seattle is clearing out the encampments in Green Lake. Subscribe to FOX 13 Seattle: ...,2026-01-18 23:28:12.265459
/watch?v=oJLPxyz1_ag&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@ahomeinSeattle,a home in Seattle,"Seattle 4K walking tour, walking around GREEN LAKE",1.1K,2 years,0:00 Introduction 1:00 Community Center & The Bathroom Situation 2:15 Boat Rentals 2:58 Coffee at Green Lake 8:10 Distance ...,2026-01-18 23:28:12.269174
/watch?v=ysabMuTuDZI&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@gusrealestate,Living in Greater Seattle Area,Living in Green Lake Seattle | Vlog Tour of Green Lake | Living in Seattle | Homes Remix,137,1 year,Living in Green Lake Seattle| Vlog Tour of Green Lake Seattle | Living in Seattle | Homes Remix This is a shortened version of my ...,2026-01-18 23:28:12.272760
/shorts/XwST1awQ7Wo,/@ThatTWguy,THAT TW GUY,Green lake Seattle skating,206,10 years,Skating the green lake bowl Seattle.,2026-01-18 23:28:12.273997
/watch?v=yiluMqR04-M&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@WhereTheLocalsRoam,Where The Locals Roam - 4K Walks,Green Lake Seattle Walking Tour | 3-Mile Golden Hour Loop,986,3 years,How many cute dogs can you spot as we make the full 3 mile loop around Green Lake in North Seattle? Filmed 6/30/22 at ...,2026-01-18 23:28:12.279557
/shorts/Xfgdtvc4dO4,/@LeeThoeun,Lee Thoeun ,"Releasing a Bass at Green Lake | Where to Fish in Seattle, WA",10K,1 year,"Releasing a Bass at Green Lake | Where to Fish in Seattle, WA #greenlake #bassfishing #catchandrelease #seattle #seattlewa ...",2026-01-18 23:28:19.805886
/watch?v=M7aULT1eOV8&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@LIVINGINGREATERSEATTLE,LIVING IN GREATER SEATTLE WASHINGTON,Pros & Cons Of Living In Green Lake Washington | Moving To Green Lake WA | Washington Real Estate,836,2 years,Are you thinking about moving to Green Lake Washington? Let's explore Pros & Cons of Living in Green Lake Washington today!,2026-01-18 23:28:19.807797
/watch?v=srlQDcloaV4&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Fire breaks out in kitchen at Seattle's Greenlake Bar & Grill,815,2 months,Fire crews responded to a fire that broke out at Seattle's Greenlake Bar & Grill early Thursday morning.,2026-01-18 23:28:19.810275
/watch?v=znq5PZFAWjs&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@Soundwayz,Sound Wayz,[4K] Seattle Green Lake in Washington USA - Walking Tour & Led Zeppelin Concert Location,335,3 years,Seattle's Green Lake Walking Tour in Seattle WA. At the end of this video we will see a brief glimpse of the Location where Led ...,2026-01-18 23:28:19.811631
/watch?v=f044YrfLTUU&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@kiro7,KIRO 7 News,"Seattle Aqua Theatre at Green Lake, 1952 and 1979 demolition",9.2K,9 years,"This footage from the KIRO 7 archives shows the Aqua Theatre at Green Lake, which was constructed in 1950 and lasted until it ...",2026-01-18 23:28:19.812931
/watch?v=Qk4thRlba1M&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@Meetup,Meetup,Meetup Stories | Seattle Green Lake Runners,818,8 years,"I use Meetup so I can have company on runs, catch up with friends and to ensure I am consistent with my training.” - Loka ...",2026-01-18 23:28:19.814157
/shorts/vPlIU6VBwFY,/@ahomeinSeattle,a home in Seattle,"Green Lake House Tour, Seattle",941,2 years,"Tangletown is a micro-neighborhood in/near Green Lake and Wallingford. We love this area! Here's a 4 bed, 2 bath, 2700 sq ft ...",2026-01-18 23:28:19.815484
