video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=EOnqntpbIX8&pp=ygULbGFrZSBjaGVsYW4%3D,/@goldenadventurers,Golden Adventurers,Cascade Scenic Loop | Lake Chelan WA | Van Life,No,5 hours,"This week we took a drive on the Cascade Scenic Loop. This loop is about 450 miles. We passed through mountains, snow, ...",2026-01-18 21:49:04.330273
/watch?v=cdi6Dz9P9eE&pp=ygULbGFrZSBjaGVsYW4%3D,/@LocalLensSeattle,Local Lens Seattle,What to do in Lake Chelan during fall | Local Lens Seattle,23K,2 years,"After this trip to Lake Chelan, I think I'm changing its name to “Washington's Paradise!” I had such an epic fall trip  , jam packed ...",2026-01-18 21:49:11.798163
/watch?v=P3OsQGQ6t4w&pp=ygULbGFrZSBjaGVsYW4%3D,/@PavlusAdventures,Pavlus Adventures,Huge Lake Trout At Lake Chelan (Personal Best),6.6K,1 year,Links to items I use from Amazon: Downrigger: https://amzn.to/4dWELJ4 Downrigger stacker https://amzn.to/3MGmQL2 Down ...,2026-01-18 21:49:11.799394
/watch?v=pvCbthW2eUE&pp=ygULbGFrZSBjaGVsYW4%3D,/@LakeChelanWineValley,Lake Chelan Wine Valley,Experience the Lake Chelan Wine Valley,2K,2 years,Want to know a secret? Paradise is real. And it's closer than you think. In the heart of Washington state lies a treasure hidden in ...,2026-01-18 21:49:11.800583
/watch?v=wqlMB6TVIj8&pp=ygULbGFrZSBjaGVsYW4%3D,/@pinoyamericanoutdoors2753,Pinoy Outdoors,"Lake Chelan, Washington",3.5K,2 years,"Trip to Lake Chelan, Washington.",2026-01-18 21:49:11.801907
/watch?v=Mxrk8Ge_gEU&pp=ygULbGFrZSBjaGVsYW4%3D,/@spiltmilt,Spilt Milt Productions,Dock Fishing for Cutthroat Trout [Lake Chelan],13K,5 years,Don't miss out on more awesome content...click here to subscribe https://bit.ly/3eADeto In the spring and fall trout are planted in ...,2026-01-18 21:49:11.803091
/watch?v=LiksKYB-0P0&pp=ygULbGFrZSBjaGVsYW4%3D,/@DiscoverLifeMedia,Discover Life Media,Lake Chelan,8,3 months,"""Discover the mesmerizing depths and tranquil shores of Lake Chelan, where adventure and serenity coalesce in perfect harmony ...",2026-01-18 21:49:19.663497
/watch?v=ZiDv737pjgM&pp=ygULbGFrZSBjaGVsYW4%3D,/@kimaactionnews,KIMA Action News,Vintage Speed Boat Races on Lake Chelan,541,1 year,Stay updated by following us on social media: Facebook: https://www.facebook.com/kimatv X: https://twitter.com/kimatv Get your ...,2026-01-18 21:49:19.664741
/watch?v=qN7Rhc8OSww&pp=ygULbGFrZSBjaGVsYW4%3D,/@echovalleyresortcabins,Echo Valley Resort & Cabins,"Looking north from Peshastin Cabin - Echo Valley in Lake Chelan, WA Timelapse (July 9, 2023)",26,2 years,"Enjoy this timelapse view to the north from Echo Valley Resort + Cabins' Peshastin Cabin in Lake Chelan, Washington. Visit our ...",2026-01-18 21:49:19.665963
/watch?v=K_fkHr_H6Zs&pp=ygULbGFrZSBjaGVsYW4%3D,/@cushmanphotography8796,Cushman Photography,"Manson Bluff - Lake Chelan, WA",1K,2 years,"Manson Bluff - Lake Chelan, WA Welcome to Manson Bluff, a new neighborhood with panoramic views of Lake Chelan and the ...",2026-01-18 21:49:19.667193
/watch?v=phWiN3S1Kj4&pp=ygULbGFrZSBjaGVsYW7SBwkJTwoBhyohjO8%3D,/@johnklugvoiceovers3863,John Klug Voiceovers,Lake Chelan Wine Valley,21,1 year,www.johnklugvoiceover.com.,2026-01-18 21:49:19.671074
/watch?v=oCBvN6pJ7bU&pp=ygULbGFrZSBjaGVsYW4%3D,/@king5evening,king5evening,Manson on Lake Chelan is a small town with big appeal,1.4K,2 years,Don't miss Manson on the North Shore of Lake Chelan. It's a small town that's worth exploring. Here are just a few things we found ...,2026-01-18 21:49:19.672719
